,Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Binned_Column
0,1,05-02-2010,1.0573375517261756,0,-0.9950582397538199,-1.7136668105545043,211.0963582,8.106,
1,1,12-02-2010,1.0542660376921031,1,-1.20107688051468,-1.7659521473797415,211.2421698,8.106,No Holiday
2,1,19-02-2010,1.0011281148807385,0,-1.1240909673882533,-1.8400230412154945,211.2891429,8.106,
3,1,26-02-2010,0.6427784675113423,0,-0.7608475744677897,-1.7376309232660716,211.3196429,8.106,
4,1,05-03-2010,0.899843794075244,0,-0.7678955805990825,-1.5982033583987725,211.3501429,8.106,
5,1,12-03-2010,0.6956058297878507,0,-0.155803355812212,-1.506704018954608,211.3806429,8.106,
6,1,19-03-2010,0.7540327436262502,0,-0.32983489182335946,-1.3912405667988752,211.215635,8.106,
7,1,26-03-2010,0.633391537468027,0,-0.4995291932921727,-1.3650978983862567,211.0180424,8.106,
8,1,02-04-2010,0.9710060464668797,0,0.08708177855848617,-1.3934191224999275,210.8204499,7.808,
9,1,09-04-2010,0.8832089513451106,0,0.2817151786457194,-1.2823127817462985,210.6228574,7.808,
10,1,16-04-2010,0.7425906955892817,0,0.3066542772641389,-1.19952766510634,210.4887,7.808,
11,1,23-04-2010,0.6100489096704066,0,0.22641543823096247,-1.22784888922001,210.4391228,7.808,
12,1,30-04-2010,0.6700180656719457,0,0.3657490979034384,-1.2605272247357835,210.3895456,7.808,
13,1,07-05-2010,0.9869298088738369,0,0.6444164172483909,-1.140706661177948,210.3399684,7.808,
14,1,14-05-2010,0.7925462012806114,0,0.7653168301159484,-1.0993141028579685,210.3374261,7.808,
15,1,21-05-2010,0.6249433943396295,0,0.8553144468693765,-1.1603136624874117,210.6170934,7.808,
16,1,28-05-2010,0.6823668469918602,0,1.0721761739860711,-1.3062768944578655,210.8967606,7.808,
17,1,04-06-2010,1.007429940433529,0,1.0857300319308645,-1.4239189023146488,211.1764278,7.808,
18,1,11-06-2010,0.878145859574017,0,1.0716340196682799,-1.5045254632535559,211.4560951,7.808,
19,1,18-06-2010,0.808550974856928,0,1.2711468086156386,-1.572060689986154,211.4537719,7.808,
20,1,25-06-2010,0.6657848068174337,0,1.2836163579248485,-1.5372037987693292,211.3386526,7.808,
21,1,02-07-2010,0.7892976746520723,0,1.0976574269222827,-1.5023469075525044,211.2235333,7.787,
22,1,09-07-2010,0.8843706961655502,0,1.0743447912572384,-1.5611679114808965,211.108414,7.787,
23,1,16-07-2010,0.7122569385401782,0,1.2190999941076321,-1.602560469800875,211.1003854,7.787,
